"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.642384114E1,-8.622536659E0,-1.482712555E1,-8.650053740E-1
3.642939614E1,-9.339784622E0,-1.466979790E1,8.213363886E-1
3.643495114E1,-1.031844902E1,-1.456451321E1,2.790031195E0
3.644050614E1,-1.162792206E1,-1.446401501E1,4.837689400E0
3.644606114E1,-1.275075340E1,-1.453221035E1,6.516852379E0
3.645161614E1,-1.336391449E1,-1.469970798E1,7.491927624E0
3.645717114E1,-1.325205040E1,-1.485344696E1,7.546364307E0
3.646272614E1,-1.262034512E1,-1.487139320E1,6.847660065E0
3.646828114E1,-1.169372463E1,-1.468475246E1,5.792425632E0
3.647383614E1,-1.077847004E1,-1.436650753E1,4.711467743E0
3.647939114E1,-1.000917721E1,-1.400997639E1,3.671786308E0
3.648494614E1,-9.187242508E0,-1.366660690E1,2.734398127E0
3.649050114E1,-8.400003433E0,-1.341775322E1,1.971087694E0
3.649605614E1,-7.599604607E0,-1.331486130E1,1.442872047E0
3.650161114E1,-6.744768620E0,-1.326521015E1,1.178465128E0
3.650716614E1,-5.837889194E0,-1.333041477E1,1.161117196E0
3.651272114E1,-5.076373100E0,-1.349731445E1,1.255035520E0
3.651827614E1,-4.417150497E0,-1.377667618E1,1.344766378E0
3.652383114E1,-3.888336897E0,-1.404826164E1,1.317847013E0
3.652938614E1,-3.515654564E0,-1.428933907E1,1.052842021E0
3.653494114E1,-3.303889751E0,-1.444008636E1,6.598208547E-1
3.654049614E1,-3.168097258E0,-1.441436386E1,1.603191197E-1
3.654605114E1,-3.221935749E0,-1.433599854E1,-5.676971674E-1
3.655160614E1,-3.202194929E0,-1.425703526E1,-1.422533035E0
3.655716114E1,-3.142972469E0,-1.421396446E1,-2.163111687E0
3.656271614E1,-2.907877684E0,-1.425524044E1,-2.587239504E0
3.656827114E1,-2.316252232E0,-1.425942802E1,-2.748156786E0
3.657382614E1,-1.387238979E0,-1.418883991E1,-2.833700180E0
3.657938114E1,1.974078640E-2,-1.400399494E1,-3.452244759E0
3.658493614E1,1.229312658E0,-1.347398472E1,-4.984847546E0
3.659049114E1,2.045265198E0,-1.291047478E1,-5.913861275E0
3.659604614E1,2.335394859E0,-1.240857983E1,-5.866602898E0
3.660160114E1,2.179861546E0,-1.186660576E1,-5.718846321E0
3.660715614E1,2.271985054E0,-1.112363434E1,-7.109076023E0
3.661271114E1,2.140379906E0,-1.038305569E1,-9.150752068E0
3.661826614E1,1.609771490E0,-9.912267685E0,-9.826724052E0
3.662382114E1,1.534397483E0,-9.413364410E0,-1.015573788E1
3.662937614E1,1.174277663E0,-9.000003815E0,-9.300901413E0
3.663493114E1,8.961120844E-1,-8.548358917E0,-7.607381344E0
3.664048614E1,-1.112662554E-1,-8.051848412E0,-3.463012457E0
3.664604114E1,-3.586841106E0,-7.414160728E0,6.026323795E0
3.665159614E1,-6.611369133E0,-6.728617191E0,1.137787151E1
3.665715114E1,-8.149953842E0,-6.279364586E0,1.161535931E1
3.666270614E1,-9.209974289E0,-6.083751678E0,1.033819008E1
3.666826114E1,-9.972088814E0,-5.922834396E0,7.555935860E0
3.667381614E1,-9.255437851E0,-6.012565136E0,4.756333351E0
3.667937114E1,-7.963313580E0,-6.115456581E0,2.620140791E0
3.668492614E1,-6.172286034E0,-6.292525291E0,5.790630579E-1
3.669048114E1,-5.175076962E0,-6.231508255E0,-1.254437327E0
3.669603614E1,-4.705485821E0,-6.402595043E0,-2.053041935E0
3.670159114E1,-4.393222332E0,-6.665207386E0,-2.359921217E0
