"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.860556292E0,-1.423539734E-1,4.344415741E0,7.836204529E0,8.961044258E0
1.870598292E0,-1.022373962E-1,4.400698700E0,7.903863831E0,9.046969934E0
1.880641292E0,-4.490661621E-4,4.611011353E0,7.983947296E0,9.219806957E0
1.890684292E0,-4.430786133E-2,4.886288910E0,8.059989166E0,9.425561408E0
1.900727292E0,-8.412506104E-2,5.161267090E0,7.976612549E0,9.501163232E0
1.910770292E0,5.508544922E-2,5.346731415E0,7.809110870E0,9.464289927E0
1.920813292E0,2.360591125E-1,5.491031342E0,7.673043823E0,9.438365887E0
1.930856292E0,4.562512207E-1,5.640720062E0,7.726782074E0,9.577528346E0
1.940899292E0,4.796026611E-1,5.722001038E0,8.046966248E0,9.885594589E0
1.950942292E0,2.683918762E-1,5.606591034E0,8.319998474E0,1.003634753E1
1.960985292E0,-6.391708374E-2,5.376070404E0,8.523874512E0,1.007782988E1
1.971028292E0,-2.743794250E-1,5.183570709E0,8.679850159E0,1.011357939E1
1.981071292E0,-3.418890381E-1,5.104984131E0,8.818461914E0,1.019524505E1
1.991114292E0,-3.899391174E-1,5.175188141E0,9.061706085E0,1.044265972E1
2.001157292E0,-4.929249573E-1,5.229076080E0,9.264983368E0,1.065017035E1
2.011200292E0,-5.128335571E-1,5.182672577E0,9.383836212E0,1.073217011E1
2.021243292E0,-5.439688110E-1,5.156926117E0,9.411828003E0,1.074580362E1
2.031286292E0,-6.078858948E-1,5.114264832E0,9.405840454E0,1.072357518E1
2.041329292E0,-5.477110291E-1,5.094356232E0,9.459129639E0,1.075767569E1
2.051372292E0,-5.204676819E-1,5.246739349E0,9.838291168E0,1.116203985E1
2.061415292E0,-6.427633667E-1,5.422174530E0,1.016865417E1,1.154186506E1
2.071458292E0,-7.246430969E-1,5.509742432E0,1.020338196E1,1.161857877E1
2.081501292E0,-8.397537231E-1,5.669609985E0,1.006985962E1,1.158670516E1
2.091544292E0,-9.360035706E-1,5.895340576E0,9.929301910E0,1.158542963E1
2.101587292E0,-7.725434875E-1,6.035748596E0,9.826166382E0,1.155770870E1
2.111630292E0,-2.556683350E-1,6.012696533E0,9.876312103E0,1.156544105E1
2.121673292E0,9.909393311E-2,5.854325867E0,1.020577698E1,1.176608833E1
2.131716292E0,-8.891510010E-2,5.388344879E0,1.083821182E1,1.210409030E1
2.141759292E0,-5.138813782E-1,4.451592865E0,1.138517441E1,1.223531566E1
2.151802292E0,-1.023870850E0,3.483106842E0,1.162003601E1,1.217397148E1
2.161845292E0,-1.359622650E0,2.826272736E0,1.149235153E1,1.191262083E1
2.171888292E0,-1.256936188E0,2.590363312E0,1.096245346E1,1.133425148E1
2.181931292E0,-8.916957092E-1,2.833457794E0,1.010114456E1,1.052885206E1
2.191974292E0,-5.834866333E-1,3.389252014E0,9.220226440E0,9.840734804E0
2.202017292E0,-2.167492676E-1,3.808979187E0,8.683592377E0,9.484728739E0
2.212060292E0,1.017883301E-2,3.911815338E0,8.504564667E0,9.361090910E0
2.222102292E0,-5.463638306E-2,3.689976654E0,8.681646423E0,9.433445683E0
2.232145292E0,-3.146456909E-1,3.222648468E0,9.186546478E0,9.740487732E0
2.242188292E0,-5.472619629E-1,2.754721527E0,9.755064240E0,1.015131837E1
2.252231292E0,-6.093827820E-1,2.474204865E0,1.010099487E1,1.041744376E1
2.262274292E0,-5.384303284E-1,2.355501709E0,1.005968079E1,1.034579494E1
2.272317292E0,-2.454895020E-1,2.417622528E0,9.727222137E0,1.002616648E1
2.282360292E0,6.107299805E-2,2.638862457E0,9.297914886E0,9.665327010E0
2.292403292E0,2.704875183E-1,2.964136047E0,8.797056427E0,9.286951480E0
2.302446292E0,3.553610229E-1,3.227438507E0,8.212072906E0,8.830672805E0
2.312489292E0,3.809577942E-1,3.355272675E0,7.614365845E0,8.329558859E0
2.322532292E0,3.441343689E-1,3.418441315E0,7.198680267E0,7.976538540E0
2.332575292E0,2.384541321E-1,3.528761902E0,7.062313843E0,7.898436412E0
2.342618292E0,1.571731567E-1,3.651506653E0,7.200775909E0,8.075232377E0
2.352661292E0,9.131011963E-2,3.757635956E0,7.443271637E0,8.338492560E0
2.362704292E0,-1.047821045E-2,3.913761292E0,7.653584290E0,8.596219501E0
2.372747292E0,-1.315763855E-1,4.010609894E0,7.492219849E0,8.499156566E0
2.382790292E0,-1.851649475E-1,3.998934174E0,7.121740265E0,8.169757951E0
2.392833292E0,-2.215393066E-1,4.117188263E0,6.953789520E0,8.084275326E0
2.402876292E0,-2.471360779E-1,4.176015930E0,7.011569366E0,8.164697806E0
2.412919292E0,-3.580554199E-1,4.102668457E0,7.094496918E0,8.203168819E0
2.422962292E0,-6.420149231E-1,3.890858917E0,7.144642639E0,8.160691436E0
2.433005292E0,-8.988807678E-1,3.656596069E0,7.362589417E0,8.269607268E0
2.443048292E0,-9.891430664E-1,3.544329529E0,7.727829895E0,8.559207364E0
2.453091292E0,-9.774673462E-1,3.605103149E0,8.146209869E0,8.961749069E0
2.463134292E0,-8.101153564E-1,3.780837708E0,8.414901123E0,9.260754914E0
2.473177292E0,-5.016069031E-1,4.065545654E0,8.522527313E0,9.455884028E0
2.483220292E0,-3.113525391E-1,4.398752747E0,8.677455139E0,9.733662919E0
2.493263292E0,-9.804611206E-2,4.672084351E0,8.851692810E0,1.000951801E1
2.503306292E0,-6.286926270E-3,4.810546417E0,8.716374207E0,9.955730795E0
2.513349292E0,3.143463135E-3,4.877457275E0,8.384813690E0,9.700242264E0
2.523392292E0,-6.571334839E-2,4.976102142E0,8.155490570E0,9.553948776E0
2.533435292E0,-1.055305481E-1,5.054539032E0,8.142767029E0,9.584579094E0
2.543478292E0,2.619552612E-2,5.123246155E0,8.242459717E0,9.704971899E0
2.553521292E0,6.077362061E-2,5.243296509E0,8.444090424E0,9.939744202E0
2.563564292E0,-2.544708252E-3,5.339097290E0,8.767418060E0,1.026516370E1
2.573607292E0,-7.978408813E-2,5.228327637E0,9.218879242E0,1.059856169E1
2.583649292E0,-2.016307068E-1,4.991071014E0,9.618548126E0,1.083826152E1
2.593692292E0,-2.793191528E-1,4.740492096E0,9.807904358E0,1.089703044E1
2.603735292E0,-2.240840149E-1,4.537663879E0,9.796078949E0,1.079832255E1
2.613778292E0,-3.424877930E-1,4.454886017E0,9.798623657E0,1.076923084E1
2.623821292E0,-4.248165894E-1,4.341272278E0,9.915530548E0,1.083258326E1
2.633864292E0,-5.522016907E-1,4.177213440E0,1.016326538E1,1.100209080E1
2.643907292E0,-7.518864441E-1,4.076023865E0,1.042058029E1,1.121462426E1
2.653950292E0,-7.560777283E-1,4.127217407E0,1.050111282E1,1.130835742E1
2.663993292E0,-4.382885742E-1,4.384382629E0,1.052775742E1,1.141265018E1
2.674036292E0,-1.887574768E-1,4.792134705E0,1.062759979E1,1.165959098E1
2.684079292E0,7.484436035E-4,5.236111450E0,1.055889267E1,1.178588470E1
2.694122292E0,3.528163147E-1,5.731581116E0,1.022448807E1,1.172670703E1
2.704165292E0,6.917115784E-1,6.230493622E0,9.644444275E0,1.150273103E1
2.714208292E0,9.768685913E-1,6.502478027E0,8.983418884E0,1.113275831E1
2.724251292E0,1.286125488E0,6.265670471E0,8.637039185E0,1.074761327E1
2.734294292E0,1.094074860E0,5.649701385E0,8.810229034E0,1.052312982E1
2.744337292E0,-5.685177612E-1,5.796246643E0,8.643475800E0,1.042254103E1
2.754380292E0,-1.098864899E0,4.209845581E0,9.474547577E0,1.042580240E1
2.764423292E0,-1.831291809E0,2.674188995E0,1.031894165E1,1.081598231E1
2.774466542E0,-2.444566498E0,2.109114075E0,1.087728058E1,1.134634304E1
2.784509542E0,-2.265239410E0,2.021097107E0,1.083282303E1,1.125016435E1
2.794552542E0,-1.431622925E0,2.254162445E0,1.054916290E1,1.088189462E1
2.804595542E0,-5.358856201E-1,2.847229156E0,1.016625916E1,1.057103176E1
2.814638542E0,7.738906860E-2,3.326981506E0,9.604776764E0,1.016496590E1
2.824681542E0,4.137396240E-1,3.498973846E0,9.026678925E0,9.689939673E0
2.834724542E0,5.399272156E-1,3.511098633E0,8.570727081E0,9.277752837E0
2.844767542E0,7.999365234E-1,3.669768677E0,8.638536072E0,9.419734924E0
2.854810542E0,1.136436768E0,3.919898529E0,9.015901337E0,9.896644377E0
2.864853542E0,1.113684082E0,4.040847015E0,8.958271179E0,9.890366998E0
2.874896542E0,8.653504944E-1,3.967050476E0,8.521928558E0,9.439787461E0
2.884939542E0,4.653822327E-1,3.865711212E0,7.975265350E0,8.874973871E0
2.894982542E0,1.646575928E-2,3.724255371E0,7.504494324E0,8.377815004E0
2.905025542E0,-1.381626892E-1,3.599564667E0,7.151678009E0,8.007649659E0
2.915068542E0,-2.183958435E-1,3.587888947E0,6.935826874E0,7.811935628E0
2.925111542E0,-2.330653381E-1,3.592379608E0,6.825057220E0,7.716276094E0
2.935153542E0,-3.318598938E-1,3.525019684E0,6.734944611E0,7.608900950E0
2.945196542E0,-5.944139099E-1,3.272494812E0,6.633605347E0,7.420732449E0
2.955239542E0,-8.547225952E-1,2.943029938E0,6.599176941E0,7.276064336E0
2.965282542E0,-1.033001862E0,2.771786041E0,7.001390533E0,7.600615772E0
