"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.410675463E0,-5.578562617E-1,2.453773499E0,3.958290219E-1
1.416230463E0,-5.106683373E-1,2.569376230E0,3.481829464E-1
1.421785463E0,-4.706578255E-1,2.603889227E0,3.042019308E-1
1.427340463E0,-4.517215490E-1,2.576095581E0,2.606790662E-1
1.432895463E0,-4.042281806E-1,2.483705044E0,2.202104330E-1
1.438450463E0,-3.448232710E-1,2.369934559E0,2.228065431E-1
1.444005463E0,-3.098522723E-1,2.277849436E0,2.725905776E-1
1.449560463E0,-3.032856584E-1,2.243947506E0,3.408527672E-1
1.455115463E0,-3.046600819E-1,2.355121613E0,4.390464723E-1
1.460670463E0,-3.080197275E-1,2.411472321E0,5.129590034E-1
1.466225463E0,-3.277195692E-1,2.374210596E0,5.431959033E-1
1.471780463E0,-3.324536085E-1,2.318928957E0,5.404471159E-1
1.477335463E0,-2.942756712E-1,2.329771519E0,5.363239050E-1
1.482890463E0,-2.455606014E-1,2.368102074E0,5.309789777E-1
1.488445463E0,-2.067717910E-1,2.354052544E0,5.074613690E-1
1.494000463E0,-1.565296054E-1,2.288997412E0,4.892886579E-1
1.499555463E0,-9.422318637E-2,2.167896986E0,4.873034060E-1
1.505110463E0,-2.657185495E-2,2.084058046E0,4.940227270E-1
1.510665463E0,4.214845970E-2,2.043284178E0,5.134171247E-1
1.516220463E0,1.015533581E-1,1.941883445E0,5.847335458E-1
1.521775463E0,1.534753740E-1,1.805969954E0,7.125533223E-1
1.527330463E0,1.672194302E-1,1.677692056E0,8.654178381E-1
1.532885463E0,1.346918195E-1,1.564837933E0,1.001942158E0
1.538440463E0,7.238540053E-2,1.524522066E0,1.098914266E0
1.543995463E0,-6.261184346E-3,1.551857471E0,1.145949483E0
1.549550463E0,-1.064401343E-1,1.579192877E0,1.122431874E0
1.555105463E0,-2.289150059E-1,1.633863688E0,1.068830013E0
1.560660463E0,-3.704788685E-1,1.731293797E0,9.834640622E-1
1.566215463E0,-5.633538961E-1,1.849645495E0,8.393041492E-1
1.571770463E0,-8.136485219E-1,1.994416356E0,6.600204706E-1
1.577325463E0,-1.086544514E0,2.180113792E0,4.630222321E-1
1.582880463E0,-1.330272675E0,2.382457018E0,2.944283783E-1
1.588435463E0,-1.480693698E0,2.555784941E0,1.753131598E-1
1.593990463E0,-1.477639556E0,2.547691107E0,1.276670843E-1
1.599545463E0,-1.368145108E0,2.389939785E0,1.409530044E-1
1.605100463E0,-1.256360054E0,2.192483425E0,1.223221645E-1
1.610655463E0,-1.145185947E0,1.929971933E0,4.031591862E-2
1.616210463E0,-1.014006495E0,1.636459827E0,-3.206948191E-2
1.621765463E0,-9.115368128E-1,1.395938754E0,-7.101099193E-2
1.627320463E0,-8.564078808E-1,1.264301062E0,-9.636115283E-2
1.632875463E0,-8.336538076E-1,1.177713513E0,-8.964183182E-2
1.638430463E0,-8.231166601E-1,1.090820551E0,-5.390727147E-2
1.643985463E0,-8.205205798E-1,1.003927469E0,-8.399149403E-3
1.649540463E0,-8.005153537E-1,8.822161555E-1,2.382304333E-2
1.655095463E0,-7.522584200E-1,7.198835015E-1,2.947338112E-2
1.660650463E0,-6.726955175E-1,5.036435723E-1,1.924168877E-2
1.666205463E0,-5.676298141E-1,2.602209449E-1,3.054236295E-4
1.671760463E0,-4.778352678E-1,6.566607859E-3,-2.153236605E-2
1.677315463E0,-4.294256270E-1,-2.289150059E-1,-6.276455522E-2
1.682870463E0,-3.888042867E-1,-4.640912116E-1,-1.858502775E-1
1.688425463E0,-3.078670204E-1,-7.319477201E-1,-4.133908749E-1
1.693980463E0,-2.368560284E-1,-9.100096822E-1,-6.306998134E-1
1.699535463E0,-2.452551723E-1,-9.652913809E-1,-7.762341499E-1
1.705090463E0,-3.581092060E-1,-9.135220647E-1,-8.028060198E-1
1.710645463E0,-5.500679612E-1,-7.240067124E-1,-7.414158583E-1
1.716200463E0,-7.812736630E-1,-4.362976551E-1,-6.476507783E-1
1.721755463E0,-1.017671585E0,-2.113531530E-1,-5.865660906E-1
1.727310463E0,-1.189930439E0,-1.815743446E-1,-5.937435627E-1
1.732865463E0,-1.228566527E0,-3.127537966E-1,-6.400152445E-1
1.738420463E0,-1.248419046E0,-3.720059693E-1,-6.759024858E-1
1.743975463E0,-1.313168883E0,-2.829749882E-1,-6.899519563E-1
1.749530463E0,-1.402657986E0,-1.510319859E-1,-7.029324770E-1
1.755085463E0,-1.481457353E0,-2.336490713E-2,-7.423321605E-1
1.760640463E0,-1.541167617E0,8.704573661E-2,-8.108997345E-1
1.766195463E0,-1.573084354E0,1.044548824E-1,-8.672503829E-1
1.771750463E0,-1.584385037E0,9.208522737E-2,-8.736643195E-1
1.777305463E0,-1.566975951E0,9.086353332E-2,-8.336538076E-1
1.782860463E0,-1.474585295E0,1.230857223E-1,-7.927270532E-1
1.788415463E0,-1.291789293E0,1.349972486E-1,-7.328640223E-1
1.793970463E0,-1.046992183E0,8.063183725E-2,-6.305471063E-1
1.799525463E0,-7.882983685E-1,-4.810422286E-2,-4.900522232E-1
1.805080463E0,-5.473191738E-1,-2.150182426E-1,-3.124483824E-1
1.810635463E0,-3.402419090E-1,-3.914003670E-1,-1.258345395E-1
1.816190463E0,-1.435490996E-1,-5.557183027E-1,4.734066129E-2
1.821745463E0,3.359659761E-2,-5.865660906E-1,1.524063945E-1
1.827300463E0,1.574458778E-1,-5.418215394E-1,1.915006191E-1
1.832855463E0,2.435753495E-1,-5.091412067E-1,2.125748396E-1
1.838410463E0,3.132119179E-1,-4.944808483E-1,2.391466945E-1
1.843965463E0,3.582619131E-1,-5.054761171E-1,2.698417902E-1
1.849520463E0,3.655920923E-1,-5.349494815E-1,2.907632887E-1
1.855075463E0,3.484883606E-1,-5.691569448E-1,2.982461751E-1
1.860630463E0,3.159607351E-1,-5.891621709E-1,2.953446507E-1
