"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.138257806E0,3.035000038E1,2.857500076E1,-3.812500000E0
2.148330306E0,3.106250000E1,2.855000114E1,-2.575000048E0
2.158404108E0,3.208750153E1,2.795000076E1,-1.637500048E0
2.168480410E0,3.238750076E1,2.764999962E1,5.000000075E-2
2.178559890E0,3.163750076E1,2.780000114E1,1.287500024E0
2.188630306E0,3.237500000E1,2.853750038E1,2.075000048E0
2.198705931E0,3.222500229E1,2.868750000E1,2.687500000E0
2.208778744E0,3.252500153E1,2.838750076E1,3.012500048E0
2.218849056E0,3.310000229E1,2.836250114E1,3.924999952E0
2.228924056E0,3.310000229E1,2.806250000E1,4.700000286E0
2.238998848E0,3.325000000E1,2.778750038E1,5.012500286E0
2.249073119E0,3.310000229E1,2.791250038E1,5.937500000E0
2.259145671E0,3.235000229E1,2.896249962E1,5.487500191E0
2.269218952E0,3.220000076E1,2.911250114E1,5.487500191E0
2.279291035E0,3.189999962E1,2.896249962E1,6.875000000E0
2.289363640E0,3.175000000E1,2.896249962E1,7.812500000E0
2.299437233E0,3.189999962E1,2.866250038E1,7.787499905E0
2.309514942E0,3.132500076E1,2.881250000E1,7.937500000E0
2.319588223E0,3.114999962E1,2.985000038E1,8.750000000E0
2.329660515E0,3.114999962E1,3.060000038E1,8.449999809E0
2.339731400E0,3.085000038E1,3.102499962E1,8.762499809E0
2.349803119E0,3.114999962E1,3.072500038E1,9.212500572E0
2.359873640E0,3.100000000E1,2.985000038E1,9.812500000E0
2.369948379E0,3.057500076E1,3.030000114E1,1.013749981E1
2.380023796E0,3.027499962E1,3.075000000E1,9.987500191E0
2.390097754E0,2.982500076E1,3.135000038E1,1.015000057E1
2.400170775E0,2.937500000E1,3.147500038E1,1.138749981E1
2.410250723E0,2.848750114E1,3.135000038E1,1.261250019E1
2.420326713E0,2.818750000E1,3.180000114E1,1.340000057E1
2.430404369E0,2.833749962E1,3.150000000E1,1.416250038E1
2.440479265E0,2.803750038E1,3.164999962E1,1.493750000E1
2.450555827E0,2.773750114E1,3.252500153E1,1.510000038E1
2.460631556E0,2.728750038E1,3.297500229E1,1.510000038E1
2.470707338E0,2.671249962E1,3.297500229E1,1.494999981E1
2.480783744E0,2.611250114E1,3.285000229E1,1.555000019E1
2.490861973E0,2.522500038E1,3.329999924E1,1.648750114E1
2.500936296E0,2.420000076E1,3.345000076E1,1.741250038E1
2.511014473E0,2.271249962E1,3.390000153E1,1.802499962E1
2.521089994E0,2.064999962E1,3.466250229E1,1.925000000E1
2.531169265E0,1.962500000E1,3.481250000E1,2.063750076E1
2.541243431E0,1.903750038E1,3.438750076E1,2.202499962E1
2.551320671E0,1.786250114E1,3.438750076E1,2.356250000E1
2.561395931E0,1.696249962E1,3.513750076E1,2.526250076E1
2.571474317E0,1.651250076E1,3.543750000E1,2.635000038E1
2.581551088E0,1.577500057E1,3.588750076E1,2.603750038E1
2.591627650E0,1.475000000E1,3.575000000E1,2.556250000E1
2.601701088E0,1.373750019E1,3.547500229E1,2.555000114E1
2.611776192E0,1.298750019E1,3.620000076E1,2.571249962E1
2.621853640E0,1.269999981E1,3.592499924E1,2.601250076E1
2.631929681E0,1.255000019E1,3.547500229E1,2.631250000E1
2.642004421E0,1.255000019E1,3.518750000E1,2.631250000E1
2.652077129E0,1.210000038E1,3.562500000E1,2.631250000E1
2.662148692E0,1.122500038E1,3.622500229E1,2.646249962E1
2.672221244E0,1.048750019E1,3.593750000E1,2.600000000E1
2.682295983E0,1.018750000E1,3.653750229E1,2.522500038E1
